tconst,titleType,startYear
tt1949106,movie,2011.0
tt1949112,movie,2005.0
tt1949114,movie,2006.0
tt1949117,movie,2007.0
tt1949120,movie,2003.0
tt1949132,movie,2011.0
tt1949137,movie,2012.0
tt1949151,movie,2008.0
tt1949168,movie,2011.0
tt1949173,movie,2010.0
tt1949187,movie,2010.0
tt1949190,movie,2013.0
tt1949192,movie,2008.0
tt1949198,movie,2012.0
tt1949207,movie,2009.0
tt1949208,movie,2011.0
tt1949226,movie,2012.0
tt1949266,movie,2009.0
tt1949510,movie,2011.0
tt1949515,movie,2014.0
tt1949526,movie,2013.0
tt1949536,movie,2012.0
tt1949538,movie,2012.0
tt1949541,movie,2012.0
tt1949543,movie,2011.0
tt1949544,movie,2011.0
tt1949545,movie,2010.0
tt1949548,movie,2012.0
tt1949549,movie,2011.0
tt1949550,movie,2013.0
tt1949552,movie,2012.0
tt1949554,movie,2010.0
tt1949567,movie,2012.0
tt1949568,movie,2011.0
tt1949573,movie,2011.0
tt1949574,movie,2011.0
tt1949578,movie,2011.0
tt1949582,movie,2010.0
tt1949583,movie,2013.0
tt1949585,movie,2014.0
tt1949590,movie,2011.0
tt1949591,movie,2015.0
tt1949593,movie,2014.0
tt1949595,movie,2012.0
tt1949597,movie,2011.0
tt1949599,movie,2012.0
tt1949600,movie,2011.0
tt1949605,movie,2016.0
tt1949610,movie,2011.0
tt1949611,movie,2011.0
tt1949613,movie,2009.0
tt1950077,movie,2011.0
tt1950082,movie,2009.0
tt1950083,movie,2004.0
tt1950098,movie,2012.0
tt1950104,movie,2007.0
tt1950109,movie,2010.0
tt1950112,movie,2011.0
tt1950124,movie,2007.0
tt1950135,movie,2015.0
tt1950142,movie,2011.0
tt1950150,movie,2010.0
tt1950168,movie,2011.0
tt1950170,movie,2011.0
tt1950172,movie,2011.0
tt1950173,movie,2010.0
tt1950175,movie,2011.0
tt1950178,movie,2009.0
tt1950186,movie,2019.0
tt1950192,movie,2013.0
tt1950205,movie,2011.0
tt1950213,movie,2011.0
tt1950226,movie,2010.0
tt1950229,movie,2011.0
tt1950237,movie,2011.0
tt1950244,movie,2010.0
tt1950247,movie,2012.0
tt1950252,movie,2011.0
tt1950261,movie,2011.0
tt1950264,movie,2012.0
tt1950270,movie,2011.0
tt1950274,movie,2011.0
tt1950278,movie,2009.0
tt1950279,movie,2009.0
tt1950308,movie,2011.0
tt1950322,movie,2011.0
tt1950328,movie,2007.0
tt1950333,movie,2007.0
tt1950338,movie,2012.0
tt1950355,movie,2011.0
tt1950373,movie,2011.0
tt1950377,movie,2011.0
tt1950380,movie,2011.0
tt1950395,movie,2011.0
tt1950399,movie,2012.0
tt1950401,movie,2011.0
tt1950402,movie,2011.0
tt1950414,movie,2007.0
tt1950433,movie,2011.0
tt1950443,movie,2014.0
tt1950447,movie,2011.0
tt1950461,movie,2010.0
tt1951072,movie,2011.0
tt1951073,movie,2011.0
tt1951074,movie,2011.0
tt1951076,movie,2012.0
tt1951077,movie,2011.0
tt1951080,movie,2002.0
tt1951082,movie,2011.0
tt1951087,movie,2011.0
tt1951090,movie,2011.0
tt1951092,movie,2008.0
tt1951095,movie,2013.0
tt1951096,movie,2007.0
tt1951099,movie,2013.0
tt1951111,movie,2011.0
tt1951133,movie,2012.0
tt1951140,movie,2011.0
tt1951141,movie,2010.0
tt1951146,movie,2010.0
tt1951156,movie,2009.0
tt1951160,movie,2011.0
tt1951164,movie,2012.0
tt1951166,movie,2012.0
tt1951169,movie,2008.0
tt1951176,movie,2013.0
tt1951177,movie,2013.0
tt1951181,movie,2013.0
tt1951182,movie,2012.0
tt1951185,movie,2000.0
tt1951187,movie,2011.0
tt1951189,movie,2011.0
tt1951194,movie,2004.0
tt1951204,movie,2011.0
tt1951212,movie,2011.0
tt1951216,movie,2013.0
tt1951218,movie,2012.0
tt1951222,movie,2005.0
tt1951224,movie,2018.0
tt1951225,movie,2011.0
tt1951226,movie,2008.0
tt1951238,movie,2011.0
tt1951261,movie,2013.0
tt1951264,movie,2013.0
tt1951265,movie,2014.0
tt1951266,movie,2015.0
tt1951290,movie,2012.0
tt1951292,movie,2011.0
tt1951299,movie,2013.0
