tconst,titleType,startYear
tt0330843,movie,2002.0
tt0330847,movie,2001.0
tt0330854,movie,2002.0
tt0330857,movie,2002.0
tt0330860,movie,2003.0
tt0330866,movie,2003.0
tt0330872,movie,2001.0
tt0330889,movie,2003.0
tt0330896,movie,2003.0
tt0330903,movie,2002.0
tt0330904,movie,2002.0
tt0330910,movie,2000.0
tt0330911,movie,2002.0
tt0330912,movie,2001.0
tt0330914,movie,2003.0
tt0330949,movie,2001.0
tt0330954,movie,2002.0
tt0330962,movie,2002.0
tt0330972,movie,2007.0
tt0330977,movie,2002.0
tt0330982,movie,2002.0
tt0330987,movie,2014.0
tt0330989,movie,2003.0
tt0330991,movie,2002.0
tt0330994,movie,2000.0
tt0330999,movie,2002.0
tt0331002,movie,2001.0
tt0331010,movie,2002.0
tt0331011,movie,2003.0
tt0331040,movie,2002.0
tt0331041,movie,2002.0
tt0331042,movie,2003.0
tt0331049,movie,2000.0
tt0331072,movie,2003.0
tt0331076,movie,2003.0
tt0331079,movie,2002.0
tt0331080,movie,2003.0
tt0331088,movie,2002.0
tt0331091,movie,2001.0
tt0331097,movie,2001.0
tt0331098,movie,2001.0
tt0331100,movie,2004.0
tt0331106,movie,2002.0
tt0331160,movie,2000.0
tt0331163,movie,2002.0
tt0331175,movie,2003.0
tt0331192,movie,2002.0
tt0331193,movie,2002.0
tt0331202,movie,2002.0
tt0331212,movie,2003.0
tt0331213,movie,2001.0
tt0331216,movie,2002.0
tt0331221,movie,2002.0
tt0331225,movie,2002.0
tt0331228,movie,2002.0
tt0331231,movie,2003.0
tt0331232,movie,2001.0
tt0331243,movie,2001.0
tt0331253,movie,2002.0
tt0331256,movie,2002.0
tt0331270,movie,2002.0
tt0331282,movie,2002.0
tt0331283,movie,2002.0
tt0331311,movie,2002.0
tt0331312,movie,2010.0
tt0331314,movie,2017.0
tt0331318,movie,2000.0
tt0331328,movie,2003.0
tt0331334,movie,2006.0
tt0331335,movie,2003.0
tt0331338,movie,2003.0
tt0331340,movie,2008.0
tt0331350,movie,2002.0
tt0331360,movie,2003.0
tt0331370,movie,2004.0
tt0331372,movie,2004.0
tt0331421,movie,2002.0
tt0331441,movie,2000.0
tt0331453,movie,2002.0
tt0331458,movie,2002.0
tt0331464,movie,2003.0
tt0331466,movie,2003.0
tt0331468,movie,2003.0
tt0331472,movie,2002.0
tt0331479,movie,2002.0
tt0331481,movie,2001.0
tt0331487,movie,2002.0
tt0331497,movie,2002.0
tt0331504,movie,2001.0
tt0331509,movie,2004.0
tt0331525,movie,2002.0
tt0331534,movie,2002.0
tt0331543,movie,2001.0
tt0331559,movie,2003.0
tt0331575,movie,2002.0
tt0331577,movie,2002.0
tt0331594,movie,2001.0
tt0331604,movie,2000.0
tt0331611,movie,2002.0
tt0331619,movie,2002.0
tt0331621,movie,2002.0
tt0331632,movie,2004.0
tt0331639,movie,2002.0
tt0331675,movie,2003.0
tt0331698,movie,2003.0
tt0331701,movie,2002.0
tt0331721,movie,2001.0
tt0331811,movie,2003.0
tt0331834,movie,2002.0
tt0331851,movie,2003.0
tt0331871,movie,2000.0
tt0331874,movie,2000.0
tt0331879,movie,2002.0
tt0331906,movie,2000.0
tt0331933,movie,2005.0
tt0331934,movie,2000.0
tt0331952,movie,2004.0
tt0331953,movie,2004.0
tt0331963,movie,2000.0
tt0331972,movie,2002.0
tt0332011,movie,2001.0
tt0332021,movie,2001.0
tt0332047,movie,2005.0
tt0332072,movie,2000.0
tt0332075,movie,2003.0
tt0332076,movie,2001.0
tt0332079,movie,2002.0
tt0332095,movie,2000.0
tt0332128,movie,2002.0
tt0332129,movie,2003.0
tt0332130,movie,2002.0
tt0332136,movie,2004.0
tt0332151,movie,2003.0
tt0332167,movie,2003.0
tt0332194,movie,2000.0
tt0332213,movie,2002.0
tt0332220,movie,2003.0
tt0332224,movie,2002.0
tt0332239,movie,2002.0
tt0332245,movie,2000.0
tt0332260,movie,2001.0
tt0332280,movie,2004.0
tt0332281,movie,2003.0
tt0332285,movie,2003.0
tt0332293,movie,2001.0
tt0332318,movie,2004.0
tt0332322,movie,2002.0
tt0332341,movie,2001.0
tt0332372,movie,2000.0
tt0332375,movie,2004.0
tt0332379,movie,2003.0
tt0332381,movie,2002.0
tt0332398,movie,2002.0
tt0332422,movie,2002.0
tt0332452,movie,2004.0
tt0332502,movie,2001.0
tt0332511,movie,2001.0
tt0332530,movie,2000.0
tt0332532,movie,2000.0
tt0332535,movie,2002.0
tt0332536,movie,2002.0
tt0332559,movie,2002.0
tt0332563,movie,2002.0
tt0332569,movie,2003.0
tt0332604,movie,2002.0
tt0332605,movie,2002.0
tt0332614,movie,2002.0
tt0332617,movie,2001.0
tt0332618,movie,2002.0
tt0332626,movie,2002.0
tt0332636,movie,2002.0
tt0332639,movie,2002.0
tt0332649,movie,2002.0
tt0332658,movie,2003.0
tt0332659,movie,2002.0
tt0332669,movie,2002.0
tt0332679,movie,2001.0
tt0332699,movie,2002.0
tt0332701,movie,2002.0
tt0332702,movie,2003.0
tt0332706,movie,2002.0
tt0332712,movie,2004.0
tt0332716,movie,2002.0
tt0332718,movie,2002.0
tt0332720,movie,2002.0
tt0332734,movie,2002.0
tt0332741,movie,2002.0
tt0332743,movie,2002.0
tt0332766,movie,2002.0
tt0332817,movie,2002.0
tt0332831,movie,2002.0
tt0332834,movie,2002.0
tt0332835,movie,2002.0
tt0333057,movie,2001.0
tt0333074,movie,2002.0
tt0333079,movie,2002.0
tt0333087,movie,2000.0
tt0333089,movie,2002.0
tt0333218,movie,2002.0
tt0333219,movie,2001.0
tt0333343,movie,2001.0
tt0333373,movie,2002.0
tt0333376,movie,2002.0
tt0333388,movie,2002.0
tt0333399,movie,2002.0
tt0333400,movie,2003.0
tt0333407,movie,2002.0
tt0333429,movie,2000.0
tt0333437,movie,2002.0
tt0333445,movie,2001.0
tt0333479,movie,2002.0
tt0333526,movie,2002.0
tt0333528,movie,2002.0
tt0333572,movie,2002.0
tt0333611,movie,2002.0
tt0333640,movie,2002.0
tt0333645,movie,2002.0
tt0333656,movie,2003.0
tt0333679,movie,2002.0
tt0333692,movie,2002.0
tt0333694,movie,2002.0
tt0333701,movie,2003.0
tt0333709,movie,2002.0
tt0333764,movie,2002.0
tt0333766,movie,2004.0
tt0333771,movie,2001.0
tt0333780,movie,2003.0
tt0333801,movie,2002.0
tt0333814,movie,2002.0
tt0333817,movie,2002.0
tt0333847,movie,2002.0
tt0333850,movie,2000.0
tt0333874,movie,2004.0
tt0333890,movie,2000.0
tt0333897,movie,2002.0
tt0333902,movie,2001.0
tt0333938,movie,2002.0
tt0333978,movie,2002.0
tt0333986,movie,2001.0
tt0333995,movie,2002.0
tt0334025,movie,2004.0
tt0334027,movie,2002.0
tt0334029,movie,2002.0
tt0334058,movie,2002.0
tt0334067,movie,2003.0
tt0334075,movie,2003.0
tt0334106,movie,2002.0
tt0334111,movie,2002.0
tt0334141,movie,2002.0
tt0334148,movie,2002.0
tt0334202,movie,2009.0
tt0334220,movie,2002.0
tt0334226,movie,2003.0
tt0334229,movie,2002.0
tt0334231,movie,2002.0
tt0334237,movie,2003.0
tt0334245,movie,2002.0
tt0334267,movie,2004.0
tt0334287,movie,2001.0
tt0334305,movie,2002.0
tt0334316,movie,2002.0
tt0334324,movie,2000.0
tt0334329,movie,2002.0
tt0334352,movie,2002.0
tt0334364,movie,2002.0
tt0334374,movie,2004.0
tt0334404,movie,2002.0
tt0334405,movie,2002.0
tt0334416,movie,2002.0
tt0334430,movie,2002.0
tt0334452,movie,2000.0
tt0334482,movie,2000.0
tt0334497,movie,2003.0
tt0334508,movie,2002.0
tt0334521,movie,2002.0
tt0334548,movie,2002.0
tt0334551,movie,2003.0
tt0334574,movie,2002.0
tt0334575,movie,2003.0
tt0334725,movie,2003.0
tt0334726,movie,2002.0
tt0334732,movie,2002.0
tt0334753,movie,2002.0
tt0334754,movie,2002.0
tt0334784,movie,2003.0
tt0334798,movie,2001.0
tt0334799,movie,2002.0
tt0334807,movie,2002.0
