tconst,titleType,startYear
tt2188945,movie,2012.0
tt2188949,movie,2007.0
tt2188956,movie,2002.0
tt2188957,movie,2011.0
tt2188965,movie,2012.0
tt2188967,movie,2012.0
tt2188996,movie,2011.0
tt2189018,movie,2011.0
tt2189044,movie,2012.0
tt2189140,movie,2004.0
tt2189144,movie,2012.0
tt2189250,movie,2011.0
tt2189290,movie,2012.0
tt2189318,movie,2013.0
tt2189332,movie,2012.0
tt2189356,movie,2013.0
tt2189418,movie,2014.0
tt2189510,movie,2013.0
tt2189714,movie,2012.0
tt2189752,movie,2012.0
tt2189778,movie,2014.0
tt2189858,movie,2007.0
tt2189966,movie,2012.0
tt2189978,movie,2014.0
tt2189986,movie,2012.0
tt2190030,movie,2013.0
tt2190098,movie,2012.0
tt2190116,movie,2012.0
tt2190161,movie,2011.0
tt2190165,movie,2012.0
tt2190180,movie,2014.0
tt2190193,movie,2012.0
tt2190195,movie,2001.0
tt2190196,movie,2012.0
tt2190219,movie,2000.0
tt2190221,movie,2011.0
tt2190231,movie,2012.0
tt2190232,movie,2012.0
tt2190235,movie,2012.0
tt2190237,movie,2012.0
tt2190243,movie,2011.0
tt2190251,movie,2011.0
tt2190256,movie,2012.0
tt2190261,movie,2011.0
tt2190269,movie,2012.0
tt2190280,movie,2012.0
tt2190286,movie,2013.0
tt2190287,movie,2011.0
tt2190319,movie,2012.0
tt2190322,movie,2012.0
tt2190332,movie,2014.0
tt2190348,movie,2012.0
tt2190353,movie,2012.0
tt2190357,movie,2012.0
tt2190364,movie,2012.0
tt2190367,movie,2012.0
tt2190369,movie,2011.0
tt2190397,movie,2012.0
tt2190403,movie,2012.0
tt2190411,movie,2011.0
tt2190421,movie,2012.0
tt2190427,movie,2011.0
tt2190435,movie,2011.0
tt2190451,movie,2016.0
tt2190452,movie,2012.0
tt2190459,movie,2009.0
tt2190463,movie,2011.0
tt2190467,movie,2015.0
tt2190469,movie,2012.0
tt2190475,movie,2011.0
tt2190483,movie,2012.0
tt2190487,movie,2011.0
tt2190492,movie,2013.0
tt2190506,movie,2012.0
tt2190534,movie,2012.0
tt2190560,movie,2014.0
tt2190568,movie,2010.0
tt2190760,movie,2013.0
tt2190770,movie,2012.0
tt2190796,movie,2013.0
tt2190820,movie,2015.0
tt2190838,movie,2014.0
tt2190862,movie,2011.0
tt2190866,movie,2012.0
tt2190892,movie,2012.0
tt2190946,movie,2012.0
tt2190966,movie,2012.0
tt2191082,movie,2013.0
tt2191164,movie,2014.0
tt2191302,movie,2014.0
tt2191328,movie,2013.0
tt2191330,movie,2010.0
tt2191332,movie,2012.0
tt2191334,movie,2012.0
tt2191340,movie,2012.0
tt2191394,movie,2012.0
tt2191400,movie,2013.0
tt2191454,movie,2012.0
tt2191562,movie,2014.0
tt2191580,movie,2012.0
tt2191605,movie,2013.0
tt2191612,movie,2012.0
tt2191618,movie,2013.0
tt2191621,movie,2012.0
tt2191641,movie,2012.0
tt2191655,movie,2013.0
tt2191657,movie,2012.0
tt2191661,movie,2005.0
tt2191665,movie,2008.0
tt2191670,movie,2012.0
tt2191675,movie,2004.0
tt2191696,movie,2012.0
tt2191701,movie,2013.0
tt2191708,movie,2010.0
tt2191715,movie,2011.0
tt2191721,movie,2012.0
tt2191725,movie,2011.0
tt2191729,movie,2012.0
tt2191737,movie,2014.0
tt2191743,movie,2011.0
tt2191745,movie,2012.0
tt2191757,movie,2011.0
tt2191765,movie,2015.0
tt2191775,movie,2009.0
tt2191781,movie,2012.0
tt2191803,movie,2012.0
tt2191822,movie,2012.0
tt2191853,movie,2011.0
tt2191861,movie,2012.0
tt2191865,movie,2012.0
tt2191869,movie,2011.0
tt2191875,movie,2004.0
tt2191877,movie,2012.0
tt2191880,movie,2014.0
tt2191881,movie,2012.0
tt2191888,movie,2013.0
tt2191893,movie,2011.0
tt2191898,movie,2012.0
tt2191900,movie,2013.0
tt2191907,movie,2011.0
tt2191912,movie,2012.0
tt2191926,movie,2011.0
tt2191928,movie,2012.0
tt2191938,movie,2012.0
tt2192002,movie,2012.0
tt2192016,movie,2014.0
tt2192100,movie,2013.0
tt2192116,movie,2014.0
tt2192200,movie,2012.0
tt2192242,movie,2012.0
tt2192244,movie,2012.0
tt2192402,movie,2012.0
tt2192538,movie,2011.0
tt2192580,movie,2013.0
tt2192582,movie,2012.0
tt2192624,movie,2013.0
tt2192794,movie,2013.0
tt2192844,movie,2012.0
tt2192882,movie,2013.0
tt2192888,movie,2012.0
tt2192900,movie,2013.0
tt2192910,movie,2012.0
tt2192914,movie,2011.0
tt2192918,movie,2012.0
tt2192924,movie,2007.0
tt2193047,movie,2012.0
tt2193051,movie,2012.0
tt2193055,movie,2003.0
tt2193079,movie,2014.0
tt2193081,movie,2006.0
tt2193085,movie,2012.0
tt2193091,movie,2012.0
tt2193093,movie,2012.0
tt2193103,movie,2012.0
tt2193104,movie,2012.0
tt2193126,movie,2012.0
tt2193145,movie,2012.0
tt2193151,movie,2012.0
tt2193161,movie,2012.0
tt2193167,movie,2013.0
tt2193175,movie,2009.0
tt2193191,movie,2013.0
tt2193197,movie,2006.0
tt2193212,movie,2012.0
tt2193215,movie,2013.0
tt2193225,movie,2012.0
tt2193247,movie,2017.0
tt2193249,movie,2011.0
tt2193265,movie,2013.0
tt2193269,movie,2010.0
tt2193271,movie,2012.0
tt2193273,movie,2009.0
tt2193310,movie,2012.0
tt2193318,movie,2012.0
tt2193324,movie,2012.0
tt2193344,movie,2012.0
tt2193354,movie,2011.0
tt2193356,movie,2012.0
tt2193364,movie,2013.0
tt2193368,movie,2013.0
tt2193418,movie,2013.0
tt2193450,movie,2014.0
tt2193494,movie,2012.0
tt2193676,movie,2012.0
tt2193698,movie,2011.0
tt2193782,movie,2012.0
tt2193814,movie,2011.0
tt2194120,movie,2012.0
tt2194328,movie,2014.0
tt2194348,movie,2012.0
tt2194404,movie,2012.0
tt2194416,movie,2012.0
tt2194497,movie,2012.0
tt2194499,movie,2013.0
tt2194501,movie,2011.0
tt2194503,movie,2009.0
tt2194507,movie,2006.0
tt2194517,movie,2011.0
tt2194542,movie,2013.0
tt2194553,movie,2011.0
tt2194559,movie,2005.0
tt2194569,movie,2012.0
tt2194575,movie,2006.0
tt2194579,movie,2012.0
tt2194593,movie,2012.0
tt2194595,movie,2008.0
tt2194599,movie,2013.0
tt2194607,movie,2012.0
tt2194617,movie,2009.0
tt2194625,movie,2012.0
tt2194627,movie,2012.0
tt2194628,movie,2013.0
tt2194633,movie,2012.0
tt2194645,movie,2009.0
tt2194648,movie,2013.0
tt2194661,movie,2007.0
tt2194693,movie,2007.0
tt2194711,movie,2012.0
tt2194724,movie,2012.0
tt2194730,movie,2012.0
tt2194752,movie,2012.0
tt2194760,movie,2012.0
tt2194768,movie,2012.0
tt2194826,movie,2014.0
tt2194828,movie,2012.0
tt2194870,movie,2012.0
tt2194952,movie,2006.0
tt2194972,movie,2012.0
tt2194976,movie,2012.0
tt2194986,movie,2008.0
tt2194988,movie,2013.0
tt2194998,movie,2013.0
tt2195016,movie,2014.0
tt2195020,movie,2012.0
tt2195066,movie,2012.0
tt2195082,movie,2006.0
tt2195310,movie,2007.0
tt2195320,movie,2013.0
tt2195324,movie,2011.0
tt2195340,movie,2012.0
tt2195418,movie,2013.0
tt2195448,movie,2013.0
tt2195474,movie,2012.0
tt2195490,movie,2012.0
tt2195498,movie,2012.0
tt2195544,movie,2010.0
tt2195548,movie,2013.0
tt2195552,movie,2013.0
tt2195564,movie,2010.0
tt2195566,movie,2013.0
tt2195592,movie,2012.0
tt2195624,movie,2013.0
tt2195652,movie,2013.0
tt2195674,movie,2012.0
tt2195694,movie,2010.0
tt2195804,movie,2013.0
tt2195830,movie,2012.0
tt2195879,movie,2011.0
tt2195880,movie,2013.0
tt2195883,movie,2011.0
tt2195884,movie,2011.0
tt2195891,movie,2011.0
