tconst,titleType,startYear
tt0479042,movie,2006.0
tt0479044,movie,2008.0
tt0479046,movie,2006.0
tt0479049,movie,2005.0
tt0479051,movie,2010.0
tt0479071,movie,2005.0
tt0479073,movie,2005.0
tt0479074,movie,2007.0
tt0479082,movie,2005.0
tt0479091,movie,2005.0
tt0479098,movie,2006.0
tt0479116,movie,2005.0
tt0479117,movie,2006.0
tt0479128,movie,2005.0
tt0479131,movie,2005.0
tt0479140,movie,2007.0
tt0479143,movie,2006.0
tt0479147,movie,2005.0
tt0479153,movie,2005.0
tt0479162,movie,2006.0
tt0479175,movie,2005.0
tt0479178,movie,2007.0
tt0479181,movie,2007.0
tt0479184,movie,2005.0
tt0479199,movie,2007.0
tt0479204,movie,2010.0
tt0479211,movie,2005.0
tt0479215,movie,2008.0
tt0479219,movie,2006.0
tt0479221,movie,2007.0
tt0479223,movie,2006.0
tt0479226,movie,2000.0
tt0479227,movie,2006.0
tt0479230,movie,2006.0
tt0479256,movie,2005.0
tt0479257,movie,2005.0
tt0479258,movie,2005.0
tt0479259,movie,2005.0
tt0479261,movie,2005.0
tt0479263,movie,2008.0
tt0479265,movie,2005.0
tt0479266,movie,2003.0
tt0479275,movie,2006.0
tt0479280,movie,2005.0
tt0479286,movie,2005.0
tt0479289,movie,2007.0
tt0479297,movie,2005.0
tt0479298,movie,2006.0
tt0479299,movie,2006.0
tt0479304,movie,2006.0
tt0479309,movie,2005.0
tt0479310,movie,2006.0
tt0479311,movie,2005.0
tt0479341,movie,2008.0
tt0479342,movie,2004.0
tt0479343,movie,2001.0
tt0479354,movie,2006.0
tt0479379,movie,2005.0
tt0479382,movie,2001.0
tt0479409,movie,2006.0
tt0479468,movie,2008.0
tt0479496,movie,2003.0
tt0479500,movie,2007.0
tt0479506,movie,2005.0
tt0479510,movie,2005.0
tt0479519,movie,2007.0
tt0479528,movie,2007.0
tt0479537,movie,2006.0
tt0479545,movie,2005.0
tt0479547,movie,2007.0
tt0479550,movie,2004.0
tt0479552,movie,2002.0
tt0479584,movie,2004.0
tt0479590,movie,2005.0
tt0479592,movie,2005.0
tt0479605,movie,2004.0
tt0479631,movie,2005.0
tt0479634,movie,2005.0
tt0479635,movie,2007.0
tt0479638,movie,2002.0
tt0479646,movie,2004.0
tt0479647,movie,2006.0
tt0479651,movie,2008.0
tt0479656,movie,2003.0
tt0479657,movie,2005.0
tt0479659,movie,2005.0
tt0479660,movie,2005.0
tt0479661,movie,2008.0
tt0479662,movie,2005.0
tt0479669,movie,2005.0
tt0479674,movie,2001.0
tt0479678,movie,2002.0
tt0479682,movie,2004.0
tt0479689,movie,2005.0
tt0479690,movie,2005.0
tt0479692,movie,2000.0
tt0479693,movie,2005.0
tt0479697,movie,2005.0
tt0479700,movie,2007.0
tt0479705,movie,2005.0
tt0479709,movie,2005.0
tt0479711,movie,2002.0
tt0479713,movie,2007.0
tt0479716,movie,2005.0
tt0479722,movie,2005.0
tt0479723,movie,2001.0
tt0479724,movie,2005.0
tt0479725,movie,2006.0
tt0479728,movie,2006.0
tt0479736,movie,2003.0
tt0479739,movie,2003.0
tt0479743,movie,2003.0
tt0479744,movie,2005.0
tt0479748,movie,2003.0
tt0479750,movie,2005.0
tt0479751,movie,2007.0
tt0479757,movie,2005.0
tt0479765,movie,2005.0
tt0479766,movie,2002.0
tt0479767,movie,2006.0
tt0479772,movie,2004.0
tt0479773,movie,2005.0
tt0479775,movie,2006.0
tt0479797,movie,2005.0
tt0479807,movie,2011.0
tt0479808,movie,2001.0
tt0479852,movie,2005.0
tt0479863,movie,2005.0
tt0479869,movie,2005.0
tt0479872,movie,2006.0
tt0479873,movie,2006.0
tt0479874,movie,2006.0
tt0479879,movie,2007.0
tt0479880,movie,2007.0
tt0479884,movie,2006.0
tt0479887,movie,2005.0
tt0479893,movie,2005.0
tt0479901,movie,2005.0
tt0479910,movie,2005.0
tt0479914,movie,2006.0
tt0479916,movie,2005.0
tt0479925,movie,2006.0
tt0479936,movie,2007.0
tt0479937,movie,2008.0
tt0479939,movie,2006.0
tt0479942,movie,2006.0
tt0479943,movie,2005.0
tt0479948,movie,2007.0
tt0479952,movie,2008.0
tt0479962,movie,2005.0
tt0479965,movie,2006.0
tt0479968,movie,2008.0
tt0479971,movie,2006.0
tt0479973,movie,2006.0
tt0479974,movie,2007.0
tt0479978,movie,2007.0
tt0479980,movie,2004.0
tt0479983,movie,2005.0
tt0479990,movie,2005.0
tt0479997,movie,2011.0
tt0479999,movie,2008.0
tt0480001,movie,2006.0
tt0480005,movie,2005.0
tt0480011,movie,2007.0
tt0480023,movie,2005.0
tt0480025,movie,2006.0
tt0480029,movie,2005.0
tt0480032,movie,2005.0
tt0480048,movie,2006.0
tt0480050,movie,2005.0
tt0480051,movie,2006.0
tt0480053,movie,2007.0
tt0480057,movie,2006.0
tt0480068,movie,2002.0
tt0480073,movie,2002.0
tt0480080,movie,2005.0
tt0480082,movie,2006.0
tt0480083,movie,2006.0
tt0480108,movie,2004.0
tt0480115,movie,2005.0
tt0480126,movie,2005.0
tt0480128,movie,2005.0
tt0480152,movie,2005.0
tt0480163,movie,2005.0
tt0480202,movie,2006.0
tt0480211,movie,2005.0
tt0480213,movie,2003.0
tt0480218,movie,2004.0
tt0480239,movie,2011.0
tt0480242,movie,2007.0
tt0480249,movie,2007.0
tt0480251,movie,2006.0
tt0480255,movie,2010.0
tt0480256,movie,2009.0
tt0480257,movie,2005.0
tt0480258,movie,2005.0
tt0480261,movie,2005.0
tt0480268,movie,2007.0
tt0480269,movie,2007.0
tt0480271,movie,2006.0
tt0480334,movie,2003.0
tt0480353,movie,2002.0
tt0480358,movie,2005.0
tt0480380,movie,2004.0
tt0480395,movie,2003.0
tt0480451,movie,2009.0
tt0480457,movie,2005.0
tt0480459,movie,2005.0
tt0480460,movie,2004.0
tt0480470,movie,2005.0
tt0480479,movie,2004.0
tt0480507,movie,2006.0
tt0480516,movie,2006.0
tt0480518,movie,2004.0
tt0480531,movie,2004.0
tt0480532,movie,2006.0
tt0480556,movie,2007.0
tt0480558,movie,2005.0
tt0480559,movie,2006.0
tt0480564,movie,2006.0
tt0480566,movie,2008.0
tt0480572,movie,2006.0
tt0480576,movie,2005.0
tt0480584,movie,2004.0
tt0480586,movie,2006.0
tt0480591,movie,2004.0
tt0480592,movie,2005.0
tt0480594,movie,2003.0
tt0480631,movie,2006.0
tt0480667,movie,2005.0
tt0480669,movie,2007.0
tt0480670,movie,2005.0
tt0480673,movie,2007.0
tt0480680,movie,2006.0
tt0480685,movie,2005.0
tt0480687,movie,2011.0
tt0480690,movie,2005.0
tt0480691,movie,2005.0
tt0480702,movie,2005.0
tt0480705,movie,2005.0
tt0480709,movie,2005.0
tt0480720,movie,2005.0
tt0480721,movie,2000.0
tt0480722,movie,2005.0
tt0480732,movie,2004.0
tt0480751,movie,2007.0
tt0480773,movie,2006.0
tt0480777,movie,2005.0
tt0480795,movie,2004.0
tt0480821,movie,2007.0
tt0480847,movie,2006.0
tt0480853,movie,2003.0
tt0480854,movie,2006.0
tt0480892,movie,2005.0
tt0480900,movie,2001.0
tt0480904,movie,2006.0
tt0480913,movie,2005.0
tt0480919,movie,2006.0
tt0480921,movie,2005.0
tt0480922,movie,2005.0
tt0480926,movie,2002.0
tt0480933,movie,2002.0
tt0480939,movie,2005.0
tt0480940,movie,2005.0
tt0480943,movie,2007.0
tt0480948,movie,2003.0
tt0480990,movie,2007.0
tt0480999,movie,2002.0
tt0481001,movie,2003.0
tt0481027,movie,2002.0
tt0481053,movie,2004.0
tt0481054,movie,2002.0
tt0481069,movie,2003.0
tt0481080,movie,2004.0
tt0481093,movie,2004.0
tt0481095,movie,2003.0
tt0481106,movie,2004.0
tt0481118,movie,2004.0
tt0481120,movie,2004.0
tt0481121,movie,2004.0
tt0481129,movie,2006.0
tt0481130,movie,2002.0
tt0481132,movie,2004.0
tt0481133,movie,2004.0
tt0481134,movie,2004.0
tt0481135,movie,2004.0
tt0481136,movie,2004.0
tt0481141,movie,2007.0
tt0481145,movie,2004.0
tt0481146,movie,2004.0
tt0481203,movie,2004.0
tt0481205,movie,2004.0
tt0481222,movie,2007.0
tt0481223,movie,2002.0
tt0481232,movie,2005.0
tt0481235,movie,2004.0
tt0481237,movie,2004.0
tt0481249,movie,2006.0
tt0481252,movie,2004.0
tt0481254,movie,2006.0
tt0481265,movie,2005.0
tt0481269,movie,2005.0
tt0481273,movie,2006.0
tt0481278,movie,2007.0
tt0481280,movie,2006.0
tt0481281,movie,2005.0
tt0481299,movie,2003.0
tt0481301,movie,2009.0
tt0481314,movie,2003.0
tt0481316,movie,2005.0
