tconst,titleType,startYear
tt6785324,movie,2017.0
tt6785752,movie,2018.0
tt6785970,movie,2009.0
tt6786122,movie,2017.0
tt6786150,movie,2017.0
tt6786156,movie,2014.0
tt6786172,movie,2017.0
tt6786280,movie,2014.0
tt6786290,movie,2014.0
tt6786296,movie,2016.0
tt6786550,movie,2017.0
tt6786590,movie,2017.0
tt6786688,movie,2017.0
tt6786690,movie,2016.0
tt6786720,movie,2017.0
tt6786730,movie,2018.0
tt6786866,movie,2017.0
tt6786948,movie,2017.0
tt6787056,movie,2016.0
tt6787064,movie,2016.0
tt6787076,movie,2018.0
tt6787090,movie,2019.0
tt6787114,movie,2014.0
tt6787126,movie,2017.0
tt6787176,movie,2017.0
tt6787262,movie,2017.0
tt6787298,movie,2018.0
tt6787632,movie,2015.0
tt6787668,movie,2012.0
tt6787962,movie,2017.0
tt6788208,movie,2017.0
tt6788218,movie,2016.0
tt6788292,movie,2017.0
tt6788396,movie,2015.0
tt6788622,movie,2018.0
tt6788646,movie,2016.0
tt6788702,movie,2017.0
tt6788720,movie,2017.0
tt6788806,movie,2019.0
tt6788828,movie,2016.0
tt6788880,movie,2018.0
tt6788904,movie,2018.0
tt6788930,movie,2017.0
tt6788942,movie,2017.0
tt6788956,movie,2017.0
tt6788980,movie,2016.0
tt6789018,movie,2017.0
tt6789058,movie,2017.0
tt6789090,movie,2017.0
tt6789126,movie,2018.0
tt6789158,movie,2017.0
tt6789172,movie,2017.0
tt6789174,movie,2017.0
tt6789200,movie,2018.0
tt6789360,movie,2017.0
tt6789368,movie,2016.0
tt6789370,movie,2018.0
tt6789372,movie,2018.0
tt6789376,movie,2016.0
tt6789386,movie,2017.0
tt6789462,movie,2012.0
tt6789628,movie,2003.0
tt6789728,movie,2017.0
tt6789732,movie,2016.0
tt6789794,movie,2016.0
tt6789824,movie,2017.0
tt6789880,movie,2017.0
tt6790002,movie,2010.0
tt6790014,movie,2011.0
tt6790150,movie,2017.0
tt6790354,movie,2016.0
tt6790396,movie,2017.0
tt6790422,movie,2017.0
tt6790530,movie,2017.0
