tconst,titleType,startYear
tt0383683,movie,2000.0
tt0383694,movie,2004.0
tt0383695,movie,2001.0
tt0383702,movie,2003.0
tt0383717,movie,2004.0
tt0383719,movie,2003.0
tt0383846,movie,2004.0
tt0383862,movie,2004.0
tt0383895,movie,2003.0
tt0383929,movie,2007.0
tt0383935,movie,2003.0
tt0383939,movie,2004.0
tt0383965,movie,2005.0
tt0383966,movie,2004.0
tt0383975,movie,2003.0
tt0383977,movie,2003.0
tt0383983,movie,2003.0
tt0383987,movie,2001.0
tt0383991,movie,2005.0
tt0383995,movie,2003.0
tt0384004,movie,2004.0
tt0384019,movie,2002.0
tt0384028,movie,2003.0
tt0384036,movie,2003.0
tt0384037,movie,2004.0
tt0384040,movie,2002.0
tt0384050,movie,2000.0
tt0384055,movie,2003.0
tt0384057,movie,2003.0
tt0384092,movie,2003.0
tt0384096,movie,2005.0
tt0384103,movie,2003.0
tt0384116,movie,2004.0
tt0384133,movie,2002.0
tt0384134,movie,2003.0
tt0384138,movie,2003.0
tt0384161,movie,2003.0
tt0384162,movie,2007.0
tt0384177,movie,2004.0
tt0384179,movie,2001.0
tt0384194,movie,2005.0
tt0384205,movie,2003.0
tt0384212,movie,2004.0
tt0384234,movie,2004.0
tt0384236,movie,2002.0
tt0384257,movie,2004.0
tt0384273,movie,2003.0
tt0384279,movie,2003.0
tt0384280,movie,2004.0
tt0384282,movie,2003.0
tt0384286,movie,2005.0
tt0384293,movie,2003.0
tt0384309,movie,2003.0
tt0384318,movie,2003.0
tt0384331,movie,2004.0
tt0384338,movie,2002.0
tt0384344,movie,2003.0
tt0384351,movie,2003.0
tt0384356,movie,2002.0
tt0384362,movie,2001.0
tt0384369,movie,2004.0
tt0384376,movie,2004.0
tt0384384,movie,2002.0
tt0384388,movie,2002.0
tt0384389,movie,2004.0
tt0384404,movie,2003.0
tt0384413,movie,2002.0
tt0384417,movie,2003.0
tt0384436,movie,2005.0
tt0384458,movie,2003.0
tt0384471,movie,2003.0
tt0384488,movie,2004.0
tt0384491,movie,2003.0
tt0384495,movie,2002.0
tt0384504,movie,2004.0
tt0384517,movie,2003.0
tt0384521,movie,2004.0
tt0384533,movie,2004.0
tt0384537,movie,2006.0
tt0384538,movie,2004.0
tt0384547,movie,2003.0
tt0384550,movie,2002.0
tt0384566,movie,2003.0
tt0384567,movie,2003.0
tt0384573,movie,2005.0
tt0384576,movie,2004.0
tt0384579,movie,2003.0
tt0384590,movie,2003.0
tt0384597,movie,2003.0
tt0384620,movie,2003.0
tt0384625,movie,2002.0
tt0384633,movie,2003.0
tt0384638,movie,2003.0
tt0384639,movie,2004.0
tt0384642,movie,2005.0
tt0384648,movie,2000.0
tt0384654,movie,2000.0
tt0384680,movie,2005.0
tt0384683,movie,2007.0
tt0384686,movie,2005.0
tt0384699,movie,2005.0
tt0384708,movie,2003.0
tt0384710,movie,2003.0
tt0384792,movie,2003.0
tt0384793,movie,2006.0
tt0384798,movie,2006.0
tt0384802,movie,2002.0
tt0384804,movie,2003.0
tt0384805,movie,2004.0
tt0384806,movie,2005.0
tt0384810,movie,2004.0
tt0384814,movie,2006.0
tt0384819,movie,2003.0
tt0384829,movie,2003.0
tt0384832,movie,2003.0
tt0384847,movie,2005.0
tt0384875,movie,2005.0
tt0384891,movie,2005.0
tt0384897,movie,2003.0
tt0384906,movie,2003.0
tt0384914,movie,2000.0
tt0384929,movie,2005.0
tt0384945,movie,2003.0
tt0384967,movie,2001.0
tt0384970,movie,2003.0
tt0384994,movie,2003.0
tt0385002,movie,2005.0
tt0385004,movie,2004.0
tt0385006,movie,2005.0
tt0385017,movie,2004.0
tt0385041,movie,2003.0
tt0385042,movie,2003.0
tt0385048,movie,2002.0
tt0385056,movie,2005.0
tt0385057,movie,2005.0
tt0385059,movie,2002.0
tt0385061,movie,2003.0
tt0385074,movie,2004.0
tt0385077,movie,2003.0
tt0385082,movie,2003.0
tt0385088,movie,2002.0
tt0385092,movie,2003.0
tt0385103,movie,2003.0
tt0385106,movie,2005.0
tt0385112,movie,2003.0
tt0385115,movie,2003.0
tt0385142,movie,2002.0
tt0385157,movie,2004.0
tt0385167,movie,2003.0
tt0385173,movie,2003.0
tt0385183,movie,2004.0
tt0385191,movie,2003.0
tt0385206,movie,2006.0
tt0385213,movie,2004.0
tt0385216,movie,2003.0
tt0385243,movie,2003.0
tt0385267,movie,2004.0
tt0385270,movie,2002.0
tt0385277,movie,2007.0
tt0385290,movie,2004.0
tt0385307,movie,2005.0
tt0385326,movie,2003.0
tt0385332,movie,2004.0
tt0385338,movie,2003.0
tt0385351,movie,2004.0
tt0385359,movie,2001.0
tt0385360,movie,2003.0
tt0385363,movie,2003.0
tt0385367,movie,2000.0
tt0385485,movie,2003.0
tt0385488,movie,2007.0
tt0385501,movie,2002.0
tt0385511,movie,2004.0
tt0385515,movie,2004.0
tt0385524,movie,2004.0
tt0385525,movie,2003.0
tt0385527,movie,2001.0
tt0385534,movie,2004.0
tt0385535,movie,2003.0
tt0385536,movie,2002.0
tt0385543,movie,2007.0
tt0385548,movie,2004.0
tt0385560,movie,2005.0
tt0385564,movie,2003.0
tt0385568,movie,2004.0
tt0385574,movie,2003.0
tt0385592,movie,2004.0
tt0385594,movie,2005.0
tt0385598,movie,2003.0
tt0385599,movie,2003.0
tt0385605,movie,2003.0
tt0385622,movie,2005.0
tt0385635,movie,2004.0
tt0385659,movie,2003.0
tt0385664,movie,2003.0
tt0385666,movie,2005.0
tt0385676,movie,2004.0
tt0385677,movie,2004.0
tt0385683,movie,2007.0
tt0385684,movie,2003.0
tt0385689,movie,2003.0
tt0385700,movie,2005.0
tt0385703,movie,2003.0
tt0385705,movie,2004.0
tt0385715,movie,2003.0
tt0385716,movie,2003.0
tt0385726,movie,2006.0
tt0385727,movie,2005.0
tt0385737,movie,2003.0
tt0385738,movie,2003.0
tt0385741,movie,2003.0
tt0385751,movie,2004.0
tt0385752,movie,2007.0
tt0385754,movie,2003.0
tt0385757,movie,2006.0
tt0385779,movie,2004.0
tt0385782,movie,2003.0
tt0385789,movie,2003.0
tt0385791,movie,2002.0
tt0385794,movie,2004.0
tt0385813,movie,2004.0
tt0385822,movie,2003.0
tt0385841,movie,2003.0
tt0385842,movie,2004.0
tt0385845,movie,2000.0
tt0385846,movie,2004.0
tt0385847,movie,2003.0
tt0385854,movie,2002.0
tt0385867,movie,2003.0
tt0385878,movie,2004.0
tt0385880,movie,2006.0
tt0385887,movie,2019.0
tt0385889,movie,2004.0
tt0385890,movie,2005.0
tt0385891,movie,2004.0
tt0385893,movie,2002.0
tt0385906,movie,2003.0
tt0385921,movie,2003.0
tt0385928,movie,2002.0
tt0385932,movie,2004.0
tt0385933,movie,2005.0
tt0385969,movie,2004.0
tt0385977,movie,2003.0
tt0385982,movie,2003.0
tt0385988,movie,2006.0
tt0385990,movie,2004.0
tt0385991,movie,2002.0
tt0385992,movie,2000.0
tt0385993,movie,2004.0
tt0386005,movie,2004.0
tt0386013,movie,2000.0
tt0386015,movie,2002.0
tt0386017,movie,2002.0
tt0386019,movie,2003.0
tt0386029,movie,2003.0
tt0386032,movie,2007.0
tt0386038,movie,2004.0
tt0386039,movie,2000.0
tt0386041,movie,2003.0
tt0386059,movie,2003.0
tt0386064,movie,2004.0
tt0386077,movie,2003.0
tt0386087,movie,2004.0
tt0386089,movie,2002.0
tt0386095,movie,2003.0
tt0386097,movie,2004.0
tt0386102,movie,2003.0
tt0386117,movie,2009.0
tt0386121,movie,2004.0
tt0386127,movie,2003.0
tt0386130,movie,2002.0
tt0386134,movie,2003.0
tt0386140,movie,2005.0
tt0386269,movie,2003.0
tt0386273,movie,2002.0
tt0386280,movie,2003.0
tt0386284,movie,2004.0
tt0386301,movie,2005.0
tt0386327,movie,2004.0
tt0386342,movie,2004.0
tt0386381,movie,2004.0
tt0386387,movie,2003.0
tt0386388,movie,2003.0
tt0386410,movie,2004.0
tt0386421,movie,2005.0
tt0386422,movie,2001.0
tt0386423,movie,2005.0
tt0386428,movie,2003.0
tt0386430,movie,2001.0
tt0386438,movie,2003.0
tt0386474,movie,2004.0
tt0386475,movie,2002.0
tt0386478,movie,2002.0
tt0386486,movie,2006.0
tt0386504,movie,2004.0
tt0386514,movie,2003.0
tt0386534,movie,2005.0
tt0386565,movie,2005.0
tt0386571,movie,2001.0
tt0386573,movie,2003.0
tt0386582,movie,2004.0
tt0386588,movie,2005.0
tt0386590,movie,2004.0
tt0386603,movie,2005.0
tt0386605,movie,2003.0
tt0386611,movie,2003.0
tt0386629,movie,2002.0
tt0386648,movie,2003.0
tt0386649,movie,2004.0
tt0386650,movie,2002.0
tt0386651,movie,2004.0
tt0386661,movie,2001.0
tt0386669,movie,2004.0
tt0386672,movie,2003.0
tt0386693,movie,2007.0
tt0386695,movie,2004.0
tt0386698,movie,2001.0
tt0386699,movie,2001.0
tt0386710,movie,2003.0
tt0386733,movie,2005.0
tt0386740,movie,2004.0
tt0386741,movie,2006.0
tt0386747,movie,2002.0
tt0386751,movie,2005.0
tt0386752,movie,2003.0
tt0386757,movie,2006.0
tt0386784,movie,2003.0
tt0386802,movie,2005.0
tt0386806,movie,2003.0
tt0386813,movie,2004.0
tt0386817,movie,2002.0
tt0386820,movie,2004.0
tt0386835,movie,2004.0
tt0386836,movie,2004.0
tt0386843,movie,2003.0
tt0386846,movie,2005.0
tt0386850,movie,2004.0
tt0386858,movie,2004.0
tt0386862,movie,2003.0
tt0386890,movie,2000.0
tt0386903,movie,2001.0
tt0387010,movie,2003.0
tt0387015,movie,2003.0
tt0387019,movie,2003.0
tt0387022,movie,2002.0
tt0387032,movie,2003.0
tt0387036,movie,2005.0
tt0387037,movie,2005.0
tt0387055,movie,2005.0
tt0387057,movie,2003.0
tt0387059,movie,2005.0
tt0387113,movie,2000.0
tt0387114,movie,2004.0
tt0387117,movie,2004.0
tt0387119,movie,2002.0
tt0387126,movie,2005.0
tt0387131,movie,2005.0
tt0387147,movie,2003.0
tt0387148,movie,2002.0
tt0387150,movie,2004.0
tt0387151,movie,2004.0
tt0387153,movie,2001.0
tt0387155,movie,2004.0
tt0387162,movie,2004.0
tt0387164,movie,2003.0
tt0387168,movie,2003.0
tt0387170,movie,2003.0
tt0387172,movie,2003.0
tt0387175,movie,2003.0
tt0387205,movie,2000.0
tt0387210,movie,2003.0
tt0387233,movie,2004.0
tt0387254,movie,2003.0
tt0387258,movie,2002.0
tt0387269,movie,2002.0
tt0387270,movie,2002.0
